trade_date,short_name,stock_code,close,change_cpt,turnover_ratio,a_net_amount,a_buy_amount,a_sell_amount,a_amount,amount,net_amount_rate,a_amount_rate,reason
2025-12-05,通宇通讯,002792,29.47,4.7264,41.5999,-96030520.23,256814764.61,352845284.84,609660049.45,4005797125.0,-2.397288660244,15.219443981452,日换手率达到20%的前5只证券
2025-12-05,锋龙股份,002931,18.86,-7.9102,12.6141,8465640.56,92034100.0,83568459.44,175602559.44,485021304.0,1.745416230212,36.205122948579,日跌幅偏离值达到7%的前5只证券
2025-12-05,瑞达期货,002961,26.71,10.0082,6.3101,68386844.48,252927098.0,184540253.52,437467351.52,1933456616.0,3.537025031442,22.62617882914,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-05,中能电气,300062,9.28,12.7582,38.8865,133892911.96,264969745.25,131076833.29,396046578.54,1513947091.0,8.843962431445,26.159869185283,日换手率达到30%的前5只证券
2025-12-05,华伍股份,300095,10.97,-2.4021,39.3441,-102612647.78,95651834.0,198264481.78,293916315.78,1483131965.0,-6.918645825289,19.817273359084,日换手率达到30%的前5只证券
2025-12-05,晓程科技,300139,27.28,14.6218,38.7611,151543689.63,341176151.9,189632462.27,530808614.17,2424406608.0,6.250753859932,21.894372520618,日换手率达到30%的前5只证券
2025-12-05,初灵信息,300250,29.56,-7.2191,46.0139,-43919702.12,247964057.7,291883759.82,539847817.52,2211136843.0,-1.986295070748,24.414943798212,日换手率达到30%的前5只证券
2025-12-05,赢时胜,300377,18.84,20.0,13.7482,107236832.59,293880539.19,186643706.6,480524245.79,1715426610.0,6.251321505966,28.011938429124,日涨幅达到15%的前5只证券
2025-12-05,力星股份,300421,28.78,20.0167,37.428,219038101.3,443930341.78,224892240.48,668822582.26,2279098636.0,9.610733727805,29.345925257269,日涨幅达到15%的前5只证券
2025-12-05,红相股份,300427,10.56,20.0,31.0832,189648938.7,296200098.6,106551159.9,402751258.5,1520848932.0,12.469939302295,26.482002914672,日涨幅达到15%的前5只证券
2025-12-05,超捷股份,301005,69.61,19.9966,15.3337,216440065.46,289924616.26,73484550.8,363409167.06,1351773562.0,16.011562257496,26.883878874086,日涨幅达到15%的前5只证券
2025-12-05,威士顿,301315,66.3,5.2047,43.0762,-57061795.1,84246614.88,141308409.98,225555024.86,1048665356.0,-5.441373148595,21.508770511915,日换手率达到30%的前5只证券
2025-12-05,国际复材,301526,7.25,20.0331,28.8673,-199989313.08,396439007.22,596428320.3,992867327.52,2807089335.0,-7.124437066767,35.369993934304,日涨幅达到15%的前5只证券
